title,file,deck,artist,year,license
Tod und Leben,daily/todundleben.png,62a3356471d8fce048171b45,Edvard Munch,1894,62a331be71d8fce048171b40
Der große rote Drache und die mit der Sonne bekleidete Frau,daily/sonnendrache.png,62a3356471d8fce048171b45,William Blake,ca. 1805,62a331be71d8fce048171b40
1001 Nacht,daily/1001nacht.png,62a3356471d8fce048171b45,Vittorio Zecchin,1914,62a331be71d8fce048171b40
Alacena,daily/alacena.png,62a3356471d8fce048171b45,María Izquierdo,1947,62a331be71d8fce048171b40
Die Entführung des Ganymed,daily/ganymed.png,62a3356471d8fce048171b45,Rembrandt van Rijn,1635,62a331be71d8fce048171b40
"Gruppe X, Altarbild Nr. 1",daily/spektrum.png,62a3356471d8fce048171b45,Hilma af Klint,1915,62a331be71d8fce048171b40
Die Weiße Rose und die Rote Rose,daily/rosen.png,62a3356471d8fce048171b45,Margaret Macdonalt Mackintosh,1902,62a331be71d8fce048171b40
Tableau No. 1,daily/mondrian.png,62a3356471d8fce048171b45,Piet Mondrian,1913,62a331be71d8fce048171b40
Die Versuchung des Heiligen Antonius,daily/antonius.png,62a3356471d8fce048171b45,Joos van Craesbeeck,ca. 1650,62a331be71d8fce048171b40
Emma Van Name,daily/babyfrau.png,62a3356471d8fce048171b45,Joshua Johnson,ca. 1805,62a331be71d8fce048171b40
Die Familie (In Erinnerung an einen Sommer in den Weißen Bergen),daily/familie.png,62a3356471d8fce048171b45,Marguerite Zorach,1917,62a331be71d8fce048171b40
Hornsgatan bei Nacht,daily/laternen.png,62a3356471d8fce048171b45,Eugène Jansson,1902,62a331be71d8fce048171b40
Jungfrau,daily/frauenknaeuel.png,62a3356471d8fce048171b45,Gustav Klimt,1913,62a331be71d8fce048171b40
Niña de la Muñeca,daily/puppenmaedchen.png,62a3356471d8fce048171b45,Rosa Rolanda,1943,62a331be71d8fce048171b40
Zwei Ovale,daily/abstrakt.png,62a3356471d8fce048171b45,Wassily Kandinsky,1919,62a331be71d8fce048171b40
Formen der Angst,daily/umhang.JPG,62a3356471d8fce048171b45,Mynard Dixon,1930-32,62a331be71d8fce048171b40
Memento-Mori-Mosaik aus Pompeji,daily/mosaik.JPG,62a3356471d8fce048171b45,unbekannter Künstler,30-40 v. Chr.,62a331be71d8fce048171b40
Das junge Mädchen und der Kohl,daily/kohl.JPG,62a3356471d8fce048171b45,Firmin Baes,ca. 1903,62a331be71d8fce048171b40
Der schlafende Zigeuner,daily/loewe.JPG,62a3356471d8fce048171b45,Henri Rousseau,1897,62a331be71d8fce048171b40
AA27,daily/schlucht.JPG,62a3356471d8fce048171b45,Zdzisław Beksiński,1972,62a331be71d8fce048171b40
