title,file,deck,artist,year,license
Sternensonate. Allegro,mikalojus/IMG-1842.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1908,62a331be71d8fce048171b40
Königsmärchen,mikalojus/IMG-1843.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1908-1909,62a331be71d8fce048171b40
Sternensonate. Andante,mikalojus/IMG-1844.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1908,62a331be71d8fce048171b40
Märchen - III,mikalojus/IMG-1845.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1907,62a331be71d8fce048171b40
Sonate - II,mikalojus/IMG-1846.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1907,62a331be71d8fce048171b40
Das Opfer,mikalojus/IMG-1847.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1909,62a331be71d8fce048171b40
Erschaffung der Welt - XI,mikalojus/IMG-1848.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1905-1906,62a331be71d8fce048171b40
Erschaffung der Welt - IV,mikalojus/IMG-1849.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1905-1906,62a331be71d8fce048171b40
Black Sun (or Ballad),mikalojus/IMG-1850.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1909,62a331be71d8fce048171b40
The Sun is Passing the Sign of Aquarius,mikalojus/IMG-1852.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1906,62a331be71d8fce048171b40
Die Sintflut - Seestück.,mikalojus/IMG-1853.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,undatiert,62a331be71d8fce048171b40
Funeral Symphony (VI),mikalojus/IMG-1854.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1903,62a331be71d8fce048171b40
Funeral Symphony (V),mikalojus/IMG-1855.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1903,62a331be71d8fce048171b40
Friedhof Motiv,mikalojus/IMG-1856.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1909,62a331be71d8fce048171b40
Truth,mikalojus/IMG-1857.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1905,62a331be71d8fce048171b40
Vergangenheit,mikalojus/IMG-1858.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1907,62a331be71d8fce048171b40
Pyramidensonate. Allegro,mikalojus/IMG-1859.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1908,62a331be71d8fce048171b40
Märchen - I,mikalojus/IMG-1860.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1907,62a331be71d8fce048171b40
Morning,mikalojus/IMG-1861.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1904,62a331be71d8fce048171b40
Geiß,mikalojus/IMG-1862.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1904,62a331be71d8fce048171b40
Blitz,mikalojus/IMG-1863.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1909,62a331be71d8fce048171b40
Eternity,mikalojus/IMG-1864.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1906,62a331be71d8fce048171b40
Sonnensonate. Allegro,mikalojus/IMG-1865.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1907,62a331be71d8fce048171b40
Märchenschloss,mikalojus/IMG-1866.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1909,62a331be71d8fce048171b40
Friendship,mikalojus/IMG-1867.JPG,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1906,62a331be71d8fce048171b40
Engel (Engel-Präludium),mikalojus/bergengel.png,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1909,62a331be71d8fce048171b40
Rex,mikalojus/erdturm.png,62ac80fc119311d5d8f666f9,Mikalojus Konstantinas Čiurlionis,1909,62a331be71d8fce048171b40
